Name,NumAttr,NumOps,NumPubOps,Setters,Getters,Nesting,IFImpl,NOC,NumDesc,NumAnc,DIT,CLD,OpsInh,AttrInh,Dep_Out,Dep_In,NumAssEl_ssc,NumAssEl_sb,NumAssEl_nsb,EC_Attr,IC_Attr,EC_Par,IC_Par,Connectors,Diags,Role Stereotypes,agreed?
Data.javaclient2.extra.Controller,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Four,
Data.javaclient2.extra.HeadingControl,9,13,11,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,0,1,Four,
Data.javaclient2.extra.PController,1,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Four,
Data.javaclient2.extra.PDController,2,6,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Four,
Data.javaclient2.extra.PIController,2,6,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Four,
Data.javaclient2.extra.PIDController,3,8,8,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Four,
Data.javaclient2.extra.PositionControl,9,11,10,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,5,0,1,Four,
Data.javaclient2.extra.PositionGeometryTools,0,6,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,1,Three,
Data.javaclient2.structures.actarray.PlayerActarrayActuator,3,6,6,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,1,One,Interfacer
Data.javaclient2.structures.actarray.PlayerActarrayActuatorgeom,7,14,14,7,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,1,Three,
Data.javaclient2.structures.actarray.PlayerActarrayBrakesConfig,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,One,
Data.javaclient2.structures.actarray.PlayerActarrayData,2,4,4,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,2,0,1,One,
Data.javaclient2.structures.actarray.PlayerActarrayGeom,2,4,4,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,2,0,1,One,
Data.javaclient2.structures.actarray.PlayerActarrayHomeCmd,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,One,
Data.javaclient2.structures.actarray.PlayerActarrayPositionCmd,2,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,One,
Data.javaclient2.structures.actarray.PlayerActarrayPowerConfig,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,One,
Data.javaclient2.structures.actarray.PlayerActarraySpeedCmd,2,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,One,
Data.javaclient2.structures.actarray.PlayerActarraySpeedConfig,2,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,One,
Data.javaclient2.structures.aio.PlayerAioCmd,2,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,One,
Data.javaclient2.structures.aio.PlayerAioData,2,4,4,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,One,
Data.javaclient2.structures.audiodsp.PlayerAudiodspCmd,6,12,12,6,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,One,
Data.javaclient2.structures.audiodsp.PlayerAudiodspConfig,3,6,6,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,1,One,
Data.javaclient2.structures.audiodsp.PlayerAudiodspData,4,8,8,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,One,
Data.javaclient2.structures.audiomixer.PlayerAudiomixerCmd,2,4,4,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,One,
Data.javaclient2.structures.audiomixer.PlayerAudiomixerConfig,10,20,20,10,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,One,
Data.javaclient2.structures.blinkenlight.PlayerBlinkenlightData,4,8,8,4,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2,2,0,1,One,
Data.javaclient2.structures.blobfinder.PlayerBlobfinderBlob,10,20,20,10,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,1,One,
Data.javaclient2.structures.blobfinder.PlayerBlobfinderColorConfig,6,12,12,6,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,One,
Data.javaclient2.structures.blobfinder.PlayerBlobfinderData,4,8,8,4,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,2,0,1,One,
